id,level,ord,title,can_do_json,grammar_id,reading_id,video_id,word_count
a1-2-u17,A1.2,17,Natur und Tiere,"[""name common animals"",""talk about nature"",""say whether you have a pet""]",,,,10
a1-2-u18,A1.2,18,Freizeit,"[""say what you do in your free time"",""suggest an activity"",""say what you can and can't do""]",,,,10
a1-2-u19,A1.2,19,Wo und wohin,"[""say where things are"",""say where you're going"",""use left, right, above, below""]",,,,10
a1-2-u20,A1.2,20,A1 zusammen,"[""hold a simple conversation about yourself"",""handle a shop or a doctor"",""ask for help when stuck""]",,r-a12-u20,,10
a2-1-u01,A2.1,1,Gestern,"[""say what you did yesterday"",""form the Perfekt with haben"",""ask what someone did""]",g-perfekt,r-a21-u01,,10
a2-1-u02,A2.1,2,Unterwegs gewesen,"[""use sein in the Perfekt"",""say where you went"",""tell a short travel story""]",,,,10
a2-1-u03,A2.1,3,Geben und bekommen,"[""say who you gave something to"",""use the dative"",""ask for help""]",,,,10
a2-1-u04,A2.1,4,Termine machen,"[""arrange an appointment on the phone"",""suggest and change a time"",""confirm details""]",g-dativ,,,10
a2-1-u05,A2.1,5,Zu Hause und unterwegs,"[""say whether you're going somewhere or already there"",""use two-way prepositions"",""describe a route""]",,r-a21-u05,,10
a2-1-u06,A2.1,6,Vergleichen,"[""compare two things"",""say which you prefer"",""use als and wie correctly""]",,,,10
a2-1-u07,A2.1,7,Anweisungen geben,"[""give an instruction politely"",""use the imperative"",""understand a recipe or sign""]",g-wechselpraep,,,10
a2-1-u08,A2.1,8,Trennbare Verben,"[""use separable verbs correctly"",""describe your morning routine"",""say when things start and end""]",,,,10
a2-1-u09,A2.1,9,Im Restaurant,"[""order a full meal"",""ask about a dish"",""ask for the bill and tip""]",,r-a21-u09,,10
a2-1-u10,A2.1,10,Einkaufen und Geld,"[""compare prices"",""ask for a discount"",""return something""]",g-komparativ,,,10
a2-1-u11,A2.1,11,Wohnung suchen,"[""describe what you're looking for"",""ask about rent and rooms"",""arrange a viewing""]",,,,10
a2-1-u12,A2.1,12,Arbeit und Studium,"[""talk about your work or studies"",""say what you did before"",""explain why you're here""]",,,,10
a2-1-u13,A2.1,13,Telefonieren,"[""make a phone call"",""ask for someone"",""leave a message""]",g-imperativ,r-a21-u13,,10
a2-1-u14,A2.1,14,Post und Behörden,"[""send a parcel"",""fill in a simple form"",""ask what documents you need""]",,,,10
a2-1-u15,A2.1,15,Gesundheit,"[""describe symptoms in detail"",""understand advice"",""collect a prescription""]",,,,10
a2-1-u16,A2.1,16,Feste und Feiern,"[""invite someone"",""accept or decline"",""congratulate someone""]",g-trennbare,,,10
a2-1-u17,A2.1,17,Sport und Hobbys,"[""talk about a hobby"",""say how often you do it"",""invite someone to join""]",,r-a21-u17,,10
a2-1-u18,A2.1,18,Medien,"[""say what you read and watch"",""recommend something"",""give a short opinion""]",,,,10
a2-1-u19,A2.1,19,Probleme lösen,"[""explain that something went wrong"",""ask for a solution"",""complain politely""]",,,,10
a2-1-u20,A2.1,20,A2.1 zusammen,"[""talk about the past"",""handle an everyday problem"",""compare and choose""]",,r-a21-u20,,10
a2-2-u01,A2.2,1,Warum? Weil…,"[""give a reason with weil"",""put the verb at the end"",""explain a decision""]",g-nebensatz,r-a22-u01,,10
a2-2-u02,A2.2,2,Ich freue mich,"[""use reflexive verbs"",""say how you feel about something"",""look forward to something""]",,,,10
a2-2-u03,A2.2,3,Gefühle,"[""name feelings"",""say why you feel that way"",""react to someone else's news""]",,,,10
a2-2-u04,A2.2,4,Beschreiben,"[""use adjective endings before nouns"",""describe an object precisely"",""identify something in a group""]",g-reflexiv,,,10
a2-2-u05,A2.2,5,Früher war das anders,"[""use war and hatte"",""talk about your childhood"",""compare then and now""]",,r-a22-u05,,10
a2-2-u06,A2.2,6,Pläne,"[""talk about the future"",""say what you're going to do"",""make a prediction""]",,,,10
a2-2-u07,A2.2,7,Besitz,"[""use the genitive"",""say what belongs to whom"",""use von + dative instead""]",g-adjektivendung,,,10
a2-2-u08,A2.2,8,Meinung sagen,"[""give an opinion"",""agree and disagree politely"",""give a reason""]",,,,10
a2-2-u09,A2.2,9,Vorschläge machen,"[""suggest something"",""respond to a suggestion"",""reach a compromise""]",,r-a22-u09,,10
a2-2-u10,A2.2,10,Im Büro,"[""talk about your work day"",""ask a colleague for something"",""explain a delay""]",g-praeteritum,,,10
a2-2-u11,A2.2,11,Bewerbung,"[""talk about your experience"",""say what you're good at"",""answer a simple interview question""]",,,,10
a2-2-u12,A2.2,12,Geld und Konten,"[""open a bank account"",""understand costs and fees"",""ask about a payment""]",,,,10
a2-2-u13,A2.2,13,Umzug,"[""describe moving house"",""arrange help"",""register your new address""]",g-futur,r-a22-u13,,10
a2-2-u14,A2.2,14,Reparaturen,"[""report something broken"",""ask for a repair"",""understand a cost estimate""]",,,,10
a2-2-u15,A2.2,15,Regeln,"[""understand rules and signs"",""say what's allowed and forbidden"",""ask permission""]",,,,10
a2-2-u16,A2.2,16,Verabredungen ändern,"[""cancel or move an appointment"",""apologise"",""suggest an alternative""]",g-genitiv,,,10
a2-2-u17,A2.2,17,Erzählen,"[""tell a short story"",""put events in order"",""keep a listener interested""]",,r-a22-u17,,10
a2-2-u18,A2.2,18,Beschwerden,"[""complain effectively"",""insist politely"",""ask for compensation""]",,,,10
a2-2-u19,A2.2,19,Gesellschaft,"[""talk about where you live"",""describe a custom"",""compare two countries""]",,,,10
a2-2-u20,A2.2,20,A2 zusammen,"[""give reasons and opinions"",""handle official situations"",""talk about past and future""]",,r-a22-u20,,10
b1-1-u01,B1.1,1,"Der Mann, der…","[""use relative clauses"",""define a person or thing"",""add detail without a new sentence""]",g-relativsatz,r-b11-u01,,10
b1-1-u02,B1.1,2,Höflich bitten,"[""use Konjunktiv II to be polite"",""make a request that doesn't sound blunt"",""soften a refusal""]",,,,10
b1-1-u03,B1.1,3,Wenn ich könnte…,"[""form conditional sentences"",""talk about hypotheticals"",""express a wish""]",,,,10
b1-1-u04,B1.1,4,Es wird gemacht,"[""understand the passive"",""describe a process"",""read instructions and notices""]",g-konjunktiv2,,,10
b1-1-u05,B1.1,5,Um … zu,"[""say why you're doing something"",""use zu + infinitive"",""express purpose""]",,r-b11-u05,,10
b1-1-u06,B1.1,6,Präpositionen sicher,"[""choose the right case after a preposition"",""use contractions naturally"",""describe a journey precisely""]",,,,10
b1-1-u07,B1.1,7,Indirekt fragen,"[""ask indirect questions"",""be polite with strangers"",""use ob correctly""]",g-passiv,,,10
b1-1-u08,B1.1,8,Arbeit und Karriere,"[""describe your responsibilities"",""talk about strengths and weaknesses"",""discuss career plans""]",,,,10
b1-1-u09,B1.1,9,Diskutieren,"[""state and defend an opinion"",""concede a point"",""disagree without being rude""]",,r-b11-u09,,10
b1-1-u10,B1.1,10,Medien und Technik,"[""talk about technology you use"",""describe a problem with a device"",""explain how something works""]",g-infinitiv-zu,,,10
b1-1-u11,B1.1,11,Gesundheit und Ernährung,"[""talk about a healthy lifestyle"",""describe symptoms in detail"",""give and take advice""]",,,,10
b1-1-u12,B1.1,12,Umwelt,"[""talk about environmental issues"",""describe what you do personally"",""state a problem and a solution""]",,,,10
b1-1-u13,B1.1,13,Beziehungen,"[""describe a relationship"",""talk about a disagreement"",""say what you value in people""]",g-praeposition-kasus,r-b11-u13,,10
b1-1-u14,B1.1,14,Wohnen in Deutschland,"[""understand a rental contract"",""deal with a landlord"",""describe housing problems""]",,,,10
b1-1-u15,B1.1,15,Reisen planen,"[""plan a trip in detail"",""handle a booking problem"",""describe an itinerary""]",,,,10
b1-1-u16,B1.1,16,Erfahrungen,"[""describe a past experience in detail"",""say what you learned"",""structure a longer answer""]",g-indirekte-frage,,,10
b1-1-u17,B1.1,17,Bildung,"[""describe your education"",""compare school systems"",""talk about learning strategies""]",,r-b11-u17,,10
b1-1-u18,B1.1,18,Geld und Wirtschaft,"[""talk about costs of living"",""describe a financial decision"",""understand a bill or contract""]",,,,10
b1-1-u19,B1.1,19,Zukunftspläne,"[""talk about long-term plans"",""express hopes and doubts"",""describe conditions""]",,,,10
b1-1-u20,B1.1,20,B1.1 zusammen,"[""hold a real conversation on a familiar topic"",""give reasons and examples"",""handle an unexpected question""]",,r-b11-u20,,10
b1-2-u01,B1.2,1,Feste Präpositionen,"[""use verbs with their fixed prepositions"",""ask worauf / worüber questions"",""avoid English interference""]",g-verben-praeposition,,,10
b1-2-u02,B1.2,2,Verbinden und begründen,"[""use deshalb, trotzdem and obwohl"",""keep word order right after each"",""build a longer argument""]",,r-b12-u02,,10
b1-2-u03,B1.2,3,"Der Mensch, den…","[""use N-declension nouns"",""talk about people precisely"",""avoid a common B1 error""]",,,,10
b1-2-u04,B1.2,4,Beschreiben mit Partizipien,"[""understand participles used as adjectives"",""read a news sentence"",""describe a state versus an action""]",g-konnektoren,,,10
b1-2-u05,B1.2,5,Was gesagt wurde,"[""recognise reported speech"",""read a news report critically"",""repeat what someone said""]",,,,10
b1-2-u06,B1.2,6,Wörter bauen,"[""decode long compound words"",""guess gender from an ending"",""expand vocabulary without memorising""]",,r-b12-u06,,10
b1-2-u07,B1.2,7,Behörden und Formulare,"[""deal with an official office"",""fill in a complex form"",""ask what happens next""]",g-nomen-verb,,,10
b1-2-u08,B1.2,8,Verträge und Rechte,"[""understand contract basics"",""ask about obligations"",""cancel something formally""]",,,,10
b1-2-u09,B1.2,9,Arbeitswelt,"[""discuss working conditions"",""negotiate"",""describe a workplace conflict""]",,,,10
b1-2-u10,B1.2,10,Statistik und Zahlen,"[""describe a trend"",""read a chart out loud"",""compare figures""]",g-partizip-adjektiv,r-b12-u10,,10
b1-2-u11,B1.2,11,Kultur,"[""talk about art, music or literature"",""give a considered opinion"",""describe an event you attended""]",,,,10
b1-2-u12,B1.2,12,Migration und Integration,"[""talk about living in another country"",""describe culture shock"",""discuss belonging""]",,,,10
b1-2-u13,B1.2,13,Wissenschaft,"[""follow a popular-science explanation"",""ask clarifying questions"",""summarise what you understood""]",g-konjunktiv1,,,10
b1-2-u14,B1.2,14,Nachrichten verstehen,"[""follow a slow news report"",""identify the main point"",""distinguish fact from opinion""]",,r-b12-u14,,10
b1-2-u15,B1.2,15,Konflikte lösen,"[""raise a difficult subject"",""stay polite under pressure"",""propose a compromise""]",,,,10
b1-2-u16,B1.2,16,Ratschläge geben,"[""give advice without being bossy"",""use Konjunktiv II for suggestions"",""weigh up options""]",g-wortbildung,,,10
b1-2-u17,B1.2,17,Präsentieren,"[""structure a short talk"",""signal what comes next"",""answer a question afterwards""]",,r-b12-u17,,10
b1-2-u18,B1.2,18,"Schreiben, das ankommt","[""write a formal email"",""use the right greeting and sign-off"",""make a clear request in writing""]",,,,10
b1-2-u19,B1.2,19,Prüfungstraining,"[""handle a typical exam task"",""keep talking when you don't know a word"",""correct yourself naturally""]",,,,10
b1-2-u20,B1.2,20,B1.2 — angekommen,"[""talk fluently about familiar topics"",""handle unexpected turns"",""express nuance and doubt""]",,r-b12-u20,,22
